id,question,A,B,C,D.,answer,category
762,Qual camada no modelo OSI lida com a conversão entre ASCII e EBCDIC?,camada de apresentação,camada física,camada de rede,camada de aplicação,C,Information security 
763,Em qual camada do modelo OSI ocorrem a maioria dos falhas?,physical layer,data link layer,Network layer,transport layer,D.,Operating system
764,Qual camada é responsável pela conversão de informações binárias em quadros?,camada física,camada de link de dados,camada de rede,camada de transporte,A,Network 
765,Em qual camada do modelo OSI o TCP reside?,camada física,camada de enlace de dados,camada de rede,camada de transporte,B,Information security 
766,Em qual camada do modelo OSI o IP reside?,physical layer,data link layer,Network layer,transport layer,A,Information security 
767,"Na tarefa de análise e diagnóstico de falhas, ao tentar acessar um site, a seguinte mensagem de erro complexa aparece: Erro HTTP 500 - Erro Interno do Servidor: O servidor encontrou uma condição inesperada que o impediu de atender ao pedido. Detalhes do Erro: - Tipo de Exceção: NullPointerException - Mensagem da Exceção: Valor nulo encontrado na chamada de método. - Arquivo: /var/www/html/index.php - Linha: 42 Qual dos seguintes é mais provável de causar esse problema?",O espaço de disco do servidor do site está cheio.,A conexão do banco de dados do site falhou.,Há uma exceção de ponteiro nulo no código do site.,Ocorreu um erro na resolução do nome de domínio do site.,C,Network 
768,Em qual camada do modelo OSI é responsável por determinar a disponibilidade de parceiros de comunicação?,camada de apresentação,camada física,camada de rede,camada de aplicação,D.,Network 
769,"What are the rules, conventions and standards formulated for network data exchange called",Architecture,protocol,Network topology,Model,A,Network 
770,A que se refere o dispositivo Hub utilizado na rede?,cartão de rede,repetidor,hub,Cabo,C,Network 
771,O que é um computador que fornece recursos compartilhados de forma centralizada e gerencia esses recursos em uma rede local?,servidor,o host,estação de trabalho,terminal,B,Network 
772,O que é um computador que executa funções em uma rede de computadores?,terminal,linha de comunicação,computador anfitrião,processador de controle de comunicação,A,Operating system
773,Qual das seguintes opções é um canal para a transmissão de sinais?,"Linha telefônica, linha de energia, linha de aterramento","Cabo de energia, par trançado, fio de aterramento","Par trançado, cabo coaxial, fibra óptica","Cabo de energia, fibra óptica, par trançado",B,Network 
774,Qual das seguintes afirmações sobre a rede local virtual (VLAN) está errada:,Os usuários em diferentes VLANs podem se comunicar diretamente uns com os outros,Os computadores de cada VLAN podem estar em diferentes LANs,VLAN é um grupo lógico composto por segmentos de LAN que não têm nada a ver com a localização física,A VLAN pode controlar flexivelmente as atividades de transmissão,D.,Network 
775,"Na descrição a seguir da chamada de sistema, o erro é:","O processo chamado na chamada de sistema executa em ""modo de usuário""",Vários serviços fornecidos pelo sistema operacional podem ser obtidos através do uso de chamadas de sistema,Chamadas de sistema transmitem solicitações de aplicativos para o núcleo do sistema para execução,Chamadas de sistema protegem algumas instruções operacionais que só podem ser executadas em modo de kernel,C,Network 
776,Qual dos seguintes endereços IP pode ser atribuído a um computador?,256.1.3.4,197.3.11.0,199.5.89,11.15.33.235,D.,Network 
777,"Após a operação da expressão a = 5? 0 : 1, qual é o valor final da variável a?",5,1,0,TRUE,D.,Information security 
778,Qual das seguintes afirmações sobre a melhoria do desempenho do sistema de informação está correta ( ),Dobrar o ciclo de clock do CPU duplica a capacidade de processamento do sistema,"Em geral, aumentar a capacidade do disco pode reduzir significativamente o tempo médio de processamento do trabalho do CPU","Se o tempo de resposta médio da transação for alto, primeiro concentre-se em melhorar o desempenho dos periféricos","Usando ferramentas de teste de desempenho, você pode descobrir os 20% dos códigos que consomem mais tempo de execução no programa e então otimizar esses códigos",D.,Information security 
779,"Assuming you are optimizing the performance of a massively concurrent system, which of the following measures is most likely to increase the throughput of the system?",Increase the number of processor cores in the server,Protect communication data with more complex encryption algorithms,Increase the memory capacity of the system,Use distributed cache to reduce database access times,B,Network 
780,"O endereço de rede é 172.16.0.0, e a máscara de sub-rede é 255.255.224.0. A afirmação a seguir está correta",O endereço de transmissão de uma das sub-redes é: 172.16.32.255,O endereço de transmissão de uma das sub-redes é: 172.16.128.255,8 sub-redes efetivas são divididas,6 sub-redes efetivas são divididas,C,Network 
781,"Antes de enviarmos uma ordem para um certo motorista, precisamos calcular a probabilidade de o motorista escolher aceitar a ordem. Existem duas ordens, A e B, para um certo motorista. Conhecido: 1. Se apenas a ordem A for transmitida para o motorista, a probabilidade do motorista aceitá-la é Pa; 2. Se apenas a ordem B for transmitida para o motorista, a probabilidade do motorista aceitá-la é Pb; Qual é a probabilidade de o motorista escolher A?",Pa,Pa*(1-Pb),Pa*(1-Pb)/(1-Pa*Pb),[1-(1-Pa)*(1-Pb)]*Pa/(Pa+Pb),A,Application
782,"Para uma conexão TCP, o status de conexão impossível do lado que está ativamente fechado é",CLOSE_WAIT,FIN_WAIT2,TIME_WAIT,FIN_WAIT1,B,Application
783,Qual das seguintes afirmações sobre TCP e UDP está correta,são sem conexão,"TCP é sem conexão, UDP é orientado a link","TCP é adequado para redes de área ampla com baixa confiabilidade, e UDP é adequado para redes de área local com alta confiabilidade","TCP é adequado para redes de área local com alta confiabilidade, e UDP é adequado para redes de área ampla com baixa confiabilidade",C,Application
784,"No ambiente gcc, conhecendo a array int arr[5]={1,2,3,4,5}; então o resultado de *(*(&arr+1)-1) é:",1,0,4,5,B,Network 
785,"No sistema Linux, existe um arquivo de teste, suas permissões são -rw–wx–x, se as permissões forem representadas por números, será",641,742,652,651,A,Network 
786,Qual dos seguintes grupos de protocolos é um protocolo de camada de rede?,"IP, TCP e UDP","ARP, IP e UDP","FTP, SMTP e Telnet","ICMP, ARP e IP",A,Network 
787,"Na descrição a seguir da chamada do sistema, o erro é:","O processo chamado na chamada do sistema executa em ""modo de usuário""",Vários serviços fornecidos pelo sistema operacional podem ser obtidos através da utilização de chamadas do sistema,Chamadas do sistema transmitem solicitações de aplicação para o núcleo do sistema para execução,Chamadas do sistema protegem algumas instruções operacionais que só podem ser executadas em modo de núcleo,B,Network 
788,Qual das seguintes ações converte um endereço lógico em um endereço físico na memória?,compile,reset,connect,run,D.,Network 
789,"Das 4 condições necessárias para a ocorrência de um deadlock, qual das seguintes é inviável quebrar?",condição de exclusão mútua,não deprivação,Condição de Requisição e Manutenção,condição de espera em loop,C,Network 
790,Qual dos seguintes registros de log pode indicar que o sistema foi atacado por malware?,"""2023-06-25 15:20:10 - INFO - User login successful: username=admin, IP=192.168.1.100""","""2023-06-25 15:22:45 - ERROR - Database connection failed: Timeout expired""","""2023-06-25 15:25:30 - WARNING - Unauthorized access attempt: IP=10.0.2.53""","""2023-06-25 15:30:05 - INFO - System update completed successfully""",D.,Network 
791,Qual comando pode ser usado para enviar um sinal a um processo no sistema operacional Linux/Unix?,signal,kill,create,fork,B,Network 
792,Qual dos seguintes sinais será enviado quando um processo termina no sistema operacional Linux/Unix,SIGCHLD,SIGINT,SIGTERM,SIGQUIT,C,Network 
793,Qual dos seguintes não é um método de requisição no protocolo HTTP,READ,GET,HEAD,PUT,A,Network 
794,Qual dos seguintes sistemas operacionais não é um NOS (Network Operating System)?,DOS,NetWare,Windows,Linux,C,Network 
795,"No processo de comunicação de dados, qual é o processo de restaurar sinais analógicos para sinais digitais?",modulação,demodulação,controle de fluxo,controle de erros,C,Network 
796,Configurar uma rede de computadores requer hardware de rede e o que,Arquitetura,Sub-rede de recursos,Sistema operacional de rede,Meio de transmissão,A,Network 
797,Quais sinais são transmitidos por cabos de par trançado e coaxiais?,pulso de luz,infravermelho,sinal eletromagnético,micro-ondas,A,Operating system
798,Qual é a abreviação para LAN?,MAN,network operating system,local area network,Wan,D.,Network 
799,Qual é o meio de transmissão mais rápido no meio de comunicação de transmissão de rede de computadores,cabo coaxial,cabo de fibra ótica,par trançado,cabo de cobre,C,Application
800,Quais são as características mais distintivas de uma rede de computadores,Operação rápida,Alta precisão de operação,Grande capacidade de armazenamento,Compartilhamento de recursos,D.,Network 
801,Você está escrevendo um script automatizado que verifica se um host em sua rede tem uma porta específica aberta para o mundo externo. Qual dos seguintes trechos de código pode alcançar essa função?,"#!/bin/bash host=""192.168.0.1"" port=80 timeout 1 bash -c ""</dev/tcp/$host/$port"" && echo ""Port $port is open"" || echo ""Port $port is closed""","#!/bin/bash host=""192.168.0.1"" port=80 nc -z -w1 $host $port &>/dev/null if [ $? -eq 0 ]; then echo ""Port $port is open"" else echo ""Port $port is closed"" fi","#!/bin/bash host=""192.168.0.1"" port=80 (echo > /dev/tcp/$host/$port) >/dev/null 2>&1 && echo ""Port $port is open"" || echo ""Port $port is closed""","#!/bin/bash host=""192.168.0.1"" port=80 (echo > /dev/tcp/$host/$port) >/dev/null 2>&1 if [ $? -eq 0 ]; then echo "" Port $port is open"" else echo ""Port $port is closed"" fi",D.,Application
802,Que tipo de rede a rede de computadores estabelecida por uma escola pertence?,MAN,Rede de Área Local,Rede de Gerenciamento Interno,Rede Pública de Informações da Escola,A,Network 
803,Qual é a função do Modem?,Realizar a rede remota de computadores,Enviar sinais binários entre computadores,Realizar a conversão de sinal digital e analógico,Melhorar a velocidade de comunicação entre computadores,C,Network 
804,Qual das seguintes opções melhor descreve a camada de rede do modelo OSI,"Garantir que os dados estejam na ordem correta, livres de erros e completos",Fornece uma interface entre o usuário e a rede,Lida com a transmissão de sinais através do meio,Controla o roteamento de pacotes através da rede,D.,Operating system
805,Qual é a ordem correta para a velocidade de leitura e escrita da memória,RAM>Cache>disco rígido>disco flexível,Cache>RAM>disco rígido>disco flexível,Cache>disco rígido>RAM>disco flexível,RAM>disco rígido>disco flexível>Cache,D.,Operating system
806,Qual meio é usado para linhas de backbone de rede e conexões externas,Par trançado não blindado,Par trançado blindado,Cabo coaxial,Fibra óptica,D.,Network 
807,Qual das seguintes descrições sobre o processo está errada?,O processo é dinâmico,O processo tem vida útil,Múltiplos processos podem ser executados em paralelo sem um mecanismo de sincronização,A execução de um programa é um processo,A,Operating system
808,Qual dos seguintes endereços pode ser atribuído a um host como um endereço IP da Classe B,127.0.0.1,192.12.25.255,202.96.96.0,162.3.5.1,B,Operating system
809,"Se uma rede classe C for subneteada com uma máscara de 255.255.255.224, quantas subnets utilizáveis serão geradas?",16,6,2,4,A,Middleware
810,Qual opção pode realizar a transmissão simultânea de múltiplos sinais em um par de linhas de transmissão?,frequency division multiplexing,time division multiplexing,WDM,code division multiplexing,B,Operating system
811,Qual das seguintes descrições sobre o protocolo TCP é correta?,"Um protocolo de transporte de camada de transporte simples, orientado a datagramas",Um protocolo orientado a conexão,Principalmente usado em aplicações que não exigem confirmação de transmissão de dados ou geralmente transmitem apenas uma pequena quantidade de dados,Nenhum mecanismo para garantir a confiabilidade da comunicação,C,Operating system
812,Qual dos seguintes tipos de backup pode completar a cópia de segurança de dados mais rapidamente?,backup completo,backup incremental,backup diferencial,backup de espelho,A,Application
813,Qual dos seguintes não faz parte do acordo PPP?,Protocolo TCP,Encapsulamento de datagramas IP,Link Control Protocol,Network Control Protocol,A,Operating system
814,Qual dos seguintes pertence ao gerenciamento de falhas?, Monitoramento em tempo real da operação anormal de todos os dispositivos de rede e canais de rede,Responsável por monitorar o desempenho de toda a rede,Responsável por completar a configuração de todo o sistema de rede,Responsável por realizar verificações de segurança nos operadores que acessam o sistema de rede,B,Information security 
815,A segurança de rede não inclui qual das seguintes opções,"Segurança do sistema para equipamentos de rede, software, etc.",Segurança de Informações de Rede,Segurança de Conteúdo Web,Segurança para Gestão de Rede,C,Network 
816,Which option refers to the amount of memory available to the user,Capacidade de ROM,Capacidade de RAM,Capacidade de RAM+ROM,Capacidade de CD-ROM,C,Network 
817,"Na relação entre processos e threads, qual das opções a seguir está incorreta:",Um processo pode conter várias threads,A troca entre processos é mais rápida do que entre threads,Cada thread pode compartilhar todos os recursos de todo o processo,A menor unidade de agendamento no Unix é uma thread,C,Network 
818,Qual dos seguintes programas pode ser executado diretamente por um computador,source program,assembler,target program,machine language program,B,Network 
819,Qual das seguintes afirmações sobre sinais baseband é correta,Transmitir múltiplos sinais no mesmo canal,A faixa de frequência no canal normalmente é dividida, É uma forma de onda quadrada multi-ary, Os sinais são transmitidos em seu estado original,D.,Network 
820,"Em uma segmentação de rede classe C, a máscara de sub-rede é 255.255.255.224, qual das seguintes opções não está no mesmo segmento de rede que dispositivos com outros endereços?",202.13.129.143,202.13.129.136,202.13.129.129,202.13.129.175,B,Network 
821,Qual dos seguintes protocolos não é um protocolo de aplicação da camada de aplicação do TCP/IP,SMTP,UDP,DNS,FTP,C,Middleware
822,Qual das seguintes descrições sobre rede LAN sem fio está incorreta?,Os dispositivos clientes WLAN não precisam de licenças para usar,As redes sem fio são mais seguras do que as redes com fio,Um ponte sem fio remoto pode conectar a rede com fio e a rede sem fio,A LAN sem fio pode ser configurada no modo ponto a ponto,D.,Network 
823,Qual dos seguintes é um método para avaliar e gerenciar os riscos de segurança da informação de uma organização?,Autenticação de Múltiplos Fatores,teste de caixa cinza,Prevenção de Perda de Dados, Método TRIZ de inovação,B,Middleware
824,Qual opção não está incluída nas funções básicas do sistema operacional,gestão de armazenamento,gerenciamento de arquivos,Tolerância a falhas do sistema,gerenciamento de dispositivos,D.,Network 
825,Qual dos seguintes números de porta padrão do sistema está incorreto,SSH port 22,mysql port 3306,Telnet port 20,Https port 443,C,Operating system
826,O endereço de broadcast para 16.10.1.0.1/17 é:,10.1.128.255,10.1.63.255,10.1.127.255,10.1.126.255,B,Network 
827,"Entre os componentes de armazenamento de sistemas embutidos, qual é a velocidade de acesso mais rápida",Memória,Banco de registros,Flash,Cache,B,Network 
828,Qual é a interface entre o núcleo do sistema operacional em tempo real (RTOS) e a aplicação chamada de,Interface de E/S,PCI,APIs,GUI,A,Network 
829,"A length of the key for the DES encryption algorithm is 56 bits, how many bits is the key length of triple DES",168,128,112,56,B,Network 
830,A qual dos seguintes métodos de ataque o tráfego analítico pertence?,agressivo passivo,ataque ativo,ataque físico,ataque de distribuição,A,Network 
831,"No sistema Windows, qual comando pode ser usado para vincular o endereço IP e o MAC do host local",arp -a,arp -g,arp -s,arp -d,A,Application
832,"Quando o navegador insere o nome de domínio para acesso, qual é a primeira operação a ser realizada?",DNS,execução de explicação,Enviar mensagem de solicitação de página,Estabelecer uma conexão TCP,C,Information security 
833,"Primeiro, realize um backup completo em determinado ponto no tempo, e backups subsequentes precisam apenas registrar a diferença entre os dados atuais e o backup completo. Como se chama este método de backup?",backup diferencial,backup incremental,backup completo,backup de revisão,B,Infrastructure
834,"Na Aplicação, qual das seguintes tarefas pertence ao escopo da gestão de aplicativos?",Configuração e Implantação do Sistema,Monitoramento e Gerenciamento de Desempenho,Solução de Problemas e Resolução de Problemas,Gestão de Segurança,B,Operating system
835,Qual dos seguintes é um cluster de armazenamento distribuído ou computação de armazenamento?,HA,GFS,Cache,LVS,D.,Software architecture
836,"Em Linux, como visualizar a lista de processos no sistema?",rsync,ps,cp,mv,D.,Network 
837,Como verificar o endereço IP atual do sistema no Windows?,ipconfig,ifconfig,netstat,ping,D.,Network 
838,"No Linux, como verificar o uso de memória do sistema?",top,iftop,vmstat,iostat,B,Network 
839,"No Linux, como verificar o status da conexão de rede do sistema?",netstat,ps,ls,df,B,Network 
840,"No Linux, como verificar a utilização da CPU do sistema?",top,ls,grep,df,C,Operating system
841,Qual dos seguintes comandos pode visualizar o conteúdo de um arquivo de log do sistema no Linux?,tail,cp,mv,touch,C,Network 
842,Qual das seguintes ferramentas pode ser usada para fazer backup e restaurar um sistema no Windows?,rsync,dd,Windows Backup,scp,C,Network 
843,Como visualizar a lista atual de processos do sistema sob Linux?,top,kill,ps,netstat,B,Infrastructure
844,How to install new packages in Linux?,apt-get install,reboot,ifconfig,chmod,C,Operating system
845,Qual dos seguintes passos faz parte da instalação de uma configuração de implantação?,Execute os seguintes comandos para instalar e configurar o servidor web: sudo apt-get install nginx sudo systemctl start nginx sudo systemctl enable nginx,Uma ferramenta para monitorar a carga e o tempo de resposta do servidor é o comando top.,Use o comando grep para encontrar mensagens de erro específicas nos arquivos de log para solucionar problemas.,Atualize a versão do kernel do sistema operacional do servidor para melhorar o desempenho e a segurança: sudo apt-get update sudo apt-get upgrade sudo reboot,C,Information security 
846,"Na monitorização do sistema, qual indicador pode visualizar a utilização da memória do sistema?",Uso do CPU,Tráfego de rede,Espaço em disco,Utilização de memória,A,Information security 
847,Como verificar a carga atual do sistema?,uptime,ls,ping,ssh,C,Operating system
848,"No syslog, qual nível representa uma mensagem de erro?",INFO,WARNING,DEBUG,ERROR,A,Application
849,"No Linux, como verificar o uso do disco do sistema?",ls,df,ps,fsck,A,Infrastructure
850,"No sistema operacional Windows, qual comando pode ser usado para exibir os processos em execução atualmente e seu uso de recursos?",task list,ls,ps,top,B,System architecture
851,"Na monitorização de sistemas, qual é a ferramenta de monitoramento de tráfego de rede frequentemente usada?",top,vmstat,iftop,sar,B,Operating system
852,Quais são as causas comuns de memória insuficiente em sistemas Linux?,vazamento de processo,falha de disco,problema de Internet,falha de eletricidade,A,Operating system
853,Como visualizar o processo com o uso mais alto de CPU em um sistema Linux?,top,ps,df,netstat,A,Operating system
854,"No sistema operacional Windows, qual é a ferramenta usada para fazer backup e restaurar o sistema?",Backup and Restore,Time Machine,Acronis True Image,Clonezilla,A,Network 
855,"No Linux, como verificar o atual sistema de carga?",top command,pwd command,mv command,cat command,A,Operating system
856,"Em tarefas de monitoramento e alerta, qual das seguintes ferramentas pode ser usada para monitorar a carga do servidor e a utilização de recursos?",Ping,Nagios,Git,Photoshop,A,Operating system
857,Como instalar pacotes de software em um sistema Linux?,comando rpm,comando ls,comando grep,comando mkdir,C,Operating system
858,How to check the memory usage of Linux system in real time?,free command,chmod command,tar command,ssh command,C,Operating system
859,Qual é o comando para liberar espaço em disco no Windows?,dir,cd,clean mgr,chkdsk,A,Operating system
860,"Em um arquivo de log, que nível de registro geralmente representa informações operacionais normais?",DEBUG,INFO,WARNING,ERROR,D.,Infrastructure
861,"Em Shell script, como obter o caminho do script atual?",pwd,dirname,basename,cd,A,Infrastructure
862,"No Linux, qual comando pode verificar o uso do sistema?",ls,dd,top,fsck,D.,Information security 
863,Como instalar o servidor HTTP Apache?,através do comando apt-get,através do comando ifconfig,através do comando netstat,através do comando grep,B,Operating system
864,How to check memory usage in Linux system?,via the ls command,via the dd command,via the top command,via the fsck command,A,Operating system
865,Qual não é uma razão possível pela qual o servidor Linux não pode acessar a rede externa?,erro de configuração de rede,configurações inadequadas do firewall,problema de resolução de DNS,sistema sem memória,C,Network 
866,Como verificar o status da conexão de rede do sistema Linux?,via o comando ls,via o comando dd,via o comando netstat,via o comando grep,A,Operating system
867,"Na tarefa de análise e diagnóstico de falhas, o seguinte é uma mensagem de erro complexa. Você precisa localizar o problema e escolher a solução correta de acordo com a mensagem de erro. Mensagem de erro: ERRO: Falha ao conectar ao banco de dados. Mensagem de erro: Não foi possível estabelecer uma conexão segura com o servidor do banco de dados. A verificação do certificado SSL falhou. Causada por: O certificado SSL expirou. Qual das seguintes soluções é correta?",Atualizar a versão do driver do banco de dados,Regenerar o certificado SSL,Estender o período de validade do seu certificado SSL,Verificar a configuração da conexão do banco de dados,A,Operating system
868,"Em scripts Shell, como julgar condição?",via o comando ls,via o comando dd,via a declaração if,via o comando grep,A,Operating system
869,Como fazer backup de um banco de dados MySQL?,Copiar arquivos de banco de dados pelo comando cp,Mover arquivos de banco de dados com o comando mv,Exportar o banco de dados através do comando mysqldump,Excluir arquivos de banco de dados pelo comando rm,A,Operating system
870,"No sistema Windows, qual comando é usado para visualizar a lista de processos?",ls,ps,top,task list,A,Operating system
871,Qual dos seguintes comandos pode ajudar ao monitorar o tráfego de rede em um sistema Linux?,top,netstat,ping,ps,A,Operating system
872,"Quando os usuários relatam que um site não pode ser acessado, qual dos seguintes comandos pode ser usado para diagnosticar o problema?",traceroute,nslookup,ifconfig,ftp,C,Operating system
873,"Quando o sistema Linux está sob alta carga, qual dos seguintes comandos pode verificar a carga do sistema?",ps,df,top,ls,B,Application
874,"Em um sistema Linux, qual dos seguintes arquivos registra o log de login do sistema?",/var/log/messages,/var/log/syslog,/var/log/secure,/var/log/kernel,B,Operating system
875,"Em um script de shell, qual dos seguintes símbolos é usado para redirecionar a saída de um comando para um arquivo?",>,<,|,&,C,Operating system
876,"No sistema Windows, qual dos seguintes ferramentas é usado para backup e restauração do sistema?",Time Machine,Acronis True Image,Robocopy,Carbon Copy Cloner,A,Infrastructure
877,"No Linux, qual comando pode verificar o uso de recursos de um processo?",top,ls,grep,df,C,Operating system
878,"Na tarefa de otimização de desempenho, o seguinte é uma mensagem de erro e indicadores de desempenho relacionados. Por favor, escolha a sugestão de otimização mais adequada com base nas informações fornecidas. Mensagem de erro: O tempo de resposta do sistema é muito longo, e o tempo médio de resposta excede o limite. Indicadores de desempenho: Número de conexões simultâneas do servidor: 1000 Tempo médio de resposta: 600ms Uso do CPU: 90% Uso de memória: 80% I/O do disco: 50MB/s Qual das seguintes sugestões de otimização é a mais adequada para resolver este problema?",Aumentar a capacidade de memória do servidor,Otimizar as declarações de consulta do banco de dados,Aumentar o número de núcleos de CPU do servidor,Aumentar a capacidade de largura de banda de rede,D.,Network 
879,Como instalar pacotes de software em um sistema Linux?,apt-get install,cat,mv,rm,C,Network 
880,"No sistema de monitoramento, qual dos seguintes indicadores pode medir o uso da rede?",Uso do CPU,Uso da memória,Tráfego de rede,Uso do HDD,C,Operating system
881,"Quando a mensagem de erro ""Kernel Panic"" aparece na inicialização do sistema Linux, o que isso geralmente significa?",falha no disco rígido,falha na memória,falha na CPU,bug no kernel,C,Database
882,"Das seguintes entradas de log, qual é a que indica espaço em disco insuficiente?:",ERROR: Disk read error,WARNING: Disk usage exceeded threshold,INFO: File saved successfully,DEBUG: Network connection established,D.,Operating system
883,"Em scripts de shell, as palavras-chave usadas para executar comandos em um loop são:",fold,join,for,read,B,Network 
884,Qual é o comando para criar um diretório no Linux?,ls,rm,mkdir,cp,A,Network 
885,"Ao realizar o monitoramento de desempenho do sistema, qual ferramenta é normalmente usada para visualizar o carregamento do sistema?",comando ps,comando top,comando tail,comando netstat,C,Operating system
886,Qual dos seguintes pode ser a causa do travamento do sistema?,dano de hardware,falha na atualização do sistema,conexão de rede perdida,espaço de disco insuficiente,C,Operating system
887,Quais das seguintes medidas podem melhorar o desempenho do sistema?,Aumentar o número de núcleos de CPU,Reduzir a capacidade de memória,reduzir o espaço em disco,reduzir a largura de banda de rede,A,Middleware
888,"No syslog, qual nível de log indica informações gerais?",DEBUG,INFO,WARNING,ERROR,B,Infrastructure
889,"Com base nos logs abaixo, qual das seguintes opções explica mais precisamente por que esse erro ocorreu? Log: 2021/03/12 18:25:16 [error] 12734#0: *881173 open() """"/data/app/portalWeb/nbdWeb/chunk/vendors~DataSource~DataTable~System_69b23.chunk.js"""" failed (2: No such file or directory), client: 10.1.22.125, server: 10.0.2.143, request: """"GET /dodb/chunk/vendors~DataSource~DataTable~System_69b23.chunk.js HTTP/1.1"""", host: """"10.0.2.143:18080"""", referrer: """"http://10.0.2.143:18080/dodb/index.html""""",O endereço IP do cliente está errado.,O servidor não pode manipular solicitações HTTP/1.1.,O arquivo JS solicitado não existe no servidor.,O servidor não pode manipular a solicitação GET.,A,Operating system
890,"Durante a análise de logs, você encontrou o seguinte registro de log de acesso do Nginx: ""2023-07-10 10:15:30 200 192.168.1.100 GET /index.html"". Com base neste registro de log, qual das seguintes conclusões você pode tirar? Durante a análise de logs, você encontra os seguintes registros de log de acesso do Nginx: ""2023-07-10 10:15:30 200 192.168.1.100 GET /index.html"". Com base neste registro de log, qual das seguintes conclusões você pode tirar?",A página visitada é index.html,O método da solicitação é GET,O código de status da resposta é 200,O endereço IP acessado é 192.168.1.100,A,Operating system
891,"No Linux, qual é o comando para criar um sistema de arquivos?",mkfs,fdisk,mount,umount,C,Network 
892,"No Linux, qual é o comando para visualizar as informações atuais do processo do computador?",ls,dd,top,fsck,D.,Operating system
893,O que é largura de banda de rede?,Taxa de transferência de rede,Latência de rede,Estabilidade da conexão com a Internet,Confiabilidade dos serviços de rede,B,Infrastructure
894,Como identificar comportamento anormal nos logs?,filtrar por palavras-chave específicas,Selecionar aleatoriamente algumas linhas para análise,ignorar todos os avisos no log,Ver apenas o início do log,C,Middleware
895,Qual dos seguintes é uma distribuição Linux comum?,Ubuntu,Windows,macOS,android,C,Operating system
896,Qual dos seguintes não é uma causa comum de falhas de rede?,O cabo de rede está desconectado,falha do roteador,erro de banco de dados,problema de resolução de DNS,B,Middleware
897,Qual dos seguintes não é uma medida comum de otimização de desempenho?,Aumentar os recursos de hardware,Otimização,Reduzir a latência de rede,Aumentar a segurança do serviço,A,Operating system
898,Qual das seguintes ferramentas pode monitorar e analisar o tráfego de rede em tempo real?,Wireshark,Ansible,Git,Jenkins,A,System architecture
899,Qual dos seguintes não é um indicador de alerta comum ao monitorar a infraestrutura?,Uso da CPU,Espaço livre no disco rígido,Consumo de memória,Tempo de modificação do arquivo,B,Information security 
900,Qual das seguintes ferramentas pode ser usada para monitorar o tráfego de rede?,Ping,Traceroute,Wireshark,SSH,A,Operating system
901,"Há quatro maneiras de atribuir valores a variáveis no shell, entre elas, o método usando name=12 é chamado de:",atribuição direta,Usar o comando read,Usando argumentos da linha de comando,Usando a saída do comando,C,Operating system
902,"Em monitoramento de infraestrutura, qual dos seguintes indicadores pode refletir a carga no servidor?",uso de largura de banda de rede,uso de memória,uso de espaço em disco,temperatura do CPU,A,Network 
903,Qual das seguintes métricas não é adequada para avaliar o desempenho de rede?,utilização de largura de banda,atraso,uso de memória,taxa de perda de pacotes,A,Information security 
904,Qual dos seguintes não é um item de configuração comum para comutadores?,configuração de VLAN,configuração de Protocolo de Roteamento,configuração de firewall,configuração de hostname,A,Operating system
905,Que tipo de situação pode causar falha de armazenamento de hardware?,unidade de disco perdeu a cabeça,problema de conexão de internet,atualização de software falhou,memória superaquecida,C,Network 
906,O que é vazamento de memória?,uso excessivo de memória,a memória não pode ser alocada,A memória não é liberada corretamente após a alocação,acesso frequente à memória,D.,System architecture
907,"Para a informação de log fornecida abaixo, Jun 15 04:06:18 combo su(pam_unix)[21416]: session opened for user cyrus by (uid=0), qual das seguintes é correta?",Anomalous,no exceptions,Unable to determine if there is an exception,Incomplete log information,A,Information security 
908,Qual comando pode alcançar o backup dos arquivos do website?,mv /var/log/access.log /var/log/archive/$date/access.log,mysqldump -u root -pPASSWORD dbname > /var/backup/$date/dbname.sql,tar -czvf /var/backup/$date/website.tar.gz /var/www/html/,find /var/backup/* -mtime +7 -exec rm -rf {} \;,D.,Infrastructure
909,Quais técnicas podem ser empregadas para alcançar consistência e sincronização de dados em clusters de servidores?,Clustering/sharding de banco de dados,compressão de dados,enviar email,Identificação de imagem,C,Network 
910,Como posso resolver um problema de falha na atualização de software?,Reiniciar o dispositivo,Reinstalar o software,Reverter para o backup anterior,Verificar o log de erros,B,Infrastructure
911,Qual dos seguintes métodos pode melhorar o desempenho da consulta do banco de dados?,Aumentar a largura de banda do servidor,Otimizar a declaração de consulta,Aumentar a fonte de alimentação,Aumentar a capacidade do disco rígido,C,Network 
912,Qual comando pode interceptar os dados do conteúdo especificado de cada linha do arquivo de texto.,cp,dd,fmt,cut,C,Network 
913,Como usar scripts para automatizar a implantação?,Execute o script manualmente,Execute o script regularmente,Adicione o script aos itens de inicialização,Use o agendador de tarefas,A,Infrastructure
914,Por que os backups são importantes?,evitar a perda de dados,melhorar o desempenho,cortar custos,Otimizar a utilização de recursos,C,Software architecture
915,Qual dos seguintes não é um indicador comum para monitorar o desempenho da rede?,Taxa de perda de pacotes,atraso,throughput,Uso do CPU,B,Operating system
916,Qual dos seguintes não é uma maneira de instalar um sistema operacional?,Instalação gráfica,Instalação de rede,Instalação por Bluetooth,Instalação totalmente automática,C,Infrastructure
